Sensor ,Unit ID,Time,lat,lon,alt,PM_1,PM_2.5,PM_4,PM_10,TSP,Status
MESSKIT0R,UNIT5,9/24/2018 11:28,36.49554083,-119.3856107,102,2.4,27.5,61.8,180.1,188.7,0
MESSKIT0R,UNIT5,9/24/2018 11:29,36.49582867,-119.385665,94,2.2,15.6,33.7,83.6,87.3,0
MESSKIT0R,UNIT5,9/24/2018 11:30,36.49584917,-119.3851923,98,2.5,17,31.5,67,68.9,0
MESSKIT0R,UNIT5,9/24/2018 11:31,36.49584,-119.3839973,99,2.2,12.4,29.4,72.8,75.9,0
MESSKIT0R,UNIT5,9/24/2018 11:32,36.49583,-119.3826107,97,2.2,15.3,30.8,71.5,73.3,0
MESSKIT0R,UNIT5,9/24/2018 11:33,36.4955075,-119.3819205,93,2.1,12.7,29.6,85.6,90.5,0
MESSKIT02,UNIT4,9/25/2018 9:21,36.49487583,-119.3820922,83,2.3,7.3,74.6,298.1,317.2,0
MESSKIT0R,UNIT5,9/25/2018 9:21,36.49516017,-119.3819858,91,2.2,17,46.8,133.3,141.3,0
MESSKIT0R,UNIT5,9/25/2018 9:22,36.49516567,-119.3825348,95,2.2,15.5,43.1,116.8,118.7,0
MESSKIT0R,UNIT5,9/25/2018 9:23,36.495145,-119.3832698,96,2.3,16.8,45.5,128.9,138.2,0
MESSKIT0R,UNIT5,9/25/2018 9:24,36.49515,-119.3842368,95,2.2,19.5,53.9,170.3,177.1,0
MESSKIT0R,UNIT5,9/25/2018 9:25,36.49515283,-119.3851765,106,2.3,22.3,55.7,158,166.6,0
MESSKIT02,UNIT4,9/25/2018 9:26,36.49481783,-119.3847083,81,2.3,19.2,53.2,167.6,178.7,0
MESSKIT0R,UNIT5,9/25/2018 9:26,36.49501467,-119.3855898,107,2.2,17.8,43.7,107.1,109.6,0
MESSKIT02,UNIT4,9/25/2018 9:27,36.4948555,-119.3829825,93,2.4,7.8,73,321.5,346.1,0
MESSKIT0R,UNIT5,9/25/2018 9:27,36.49485933,-119.3849482,113,2.2,15.4,40.6,102.7,108.3,0
MESSKIT02,UNIT4,9/25/2018 9:28,36.49511583,-119.3819665,87,2.4,4.8,117.7,443.1,465.9,0
MESSKIT0R,UNIT5,9/25/2018 9:28,36.495195,-119.3832563,129,2.3,16,44.2,124.4,126.9,0
MESSKIT02,UNIT4,9/25/2018 9:29,36.49511333,-119.3819767,88,2.6,2.6,64.4,604.8,644.9,0
MESSKIT0R,UNIT5,9/25/2018 9:29,36.49538517,-119.3824443,108,2.2,2.2,82.3,409.1,441.7,0
